Configuration,VSLA_ms,Manual_ms,Ratio
Equal sizes,0.003,0.005,0.43
A >> B,0.003,0.004,0.00
B >> A,0.003,0.004,0.00
A >>> B,0.003,0.002,0.00
B >>> A,0.003,0.002,0.00
A vs scalar,0.003,0.004,0.00
Equal,0.021,0.050,0.43
